record_id,business_id,month,year,electricity_bill,diesel_cost,petrol_cost,generator_hours,grid_hours,outage_hours,energy_consumption_kwh,fuel_consumption_liters,maintenance_cost,weather_avg_temp,occupancy_rate,total_energy_cost
REC-000014,BIZ-0001,2,2025,18812535.81,1476235.43,44824.96,41.78,320.94,46.42,198026.69,1195.33,686984.35,26.97,80.93,20333596.2
REC-000015,BIZ-0001,3,2025,11694565.38,1682472.17,51087.21,55.63,344.91,61.81,123100.69,1362.33,530144.66,28.95,70.88,13428124.76
REC-000016,BIZ-0001,4,2025,18481237.49,1871659.82,56831.78,45.8,342.71,50.89,194539.34,1515.51,687111.73,31.22,75.87,20409729.09
REC-000017,BIZ-0001,5,2025,13584828.56,2334474.88,70884.86,62.71,337.04,69.68,142998.2,1890.26,595463.94,29.42,57.86,15990188.3
REC-000018,BIZ-0001,6,2025,14442223.91,1441855.82,43781.05,57.75,329.44,64.16,152023.41,1167.49,607099.48,29.96,62.54,15927860.78
REC-000019,BIZ-0001,7,2025,15113676.97,1534136.99,46583.11,55.43,345.13,61.59,159091.34,1242.22,619675.27,29.68,75.76,16694397.07
REC-000020,BIZ-0001,8,2025,11599683.64,3935309.72,119493.21,95.56,300.55,106.17,122101.93,3186.49,615476.75,29.16,56.92,15654486.57
REC-000021,BIZ-0001,9,2025,11057710.95,2213120.54,67200.02,67.34,318.78,74.82,116396.96,1792.0,539130.0,27.38,65.13,13338031.51
REC-000022,BIZ-0001,10,2025,12262039.85,2757616.15,83733.28,71.2,327.61,79.11,129074.1,2232.89,579324.35,24.94,73.64,15103389.28
REC-000023,BIZ-0001,11,2025,16266522.45,2132096.45,64739.77,63.48,323.06,70.54,171226.55,1726.39,667726.42,25.15,68.9,18463358.67
REC-000024,BIZ-0001,12,2025,13588958.7,2338739.7,71014.36,61.48,338.41,68.31,143041.67,1893.72,592857.19,24.82,65.96,15998712.76
REC-000025,BIZ-0002,1,2024,2207424.96,767994.44,49230.41,33.7,639.47,56.17,23236.05,656.41,158303.59,26.24,30.13,3024649.81
REC-000026,BIZ-0002,2,2024,1837030.02,569709.26,36519.82,44.03,577.37,73.39,19337.16,486.93,164186.21,27.9,37.24,2443259.1
REC-000027,BIZ-0002,3,2024,1602870.8,1244968.85,79805.7,60.95,594.06,101.58,16872.32,1064.08,182449.75,29.1,30.01,2927645.35
REC-000028,BIZ-0002,4,2024,1656085.18,925771.66,59344.34,51.7,587.04,86.16,17432.48,791.26,170725.51,29.5,39.48,2641201.18
REC-000029,BIZ-0002,5,2024,1852684.71,1239244.5,79438.75,64.37,588.36,107.28,19501.94,1059.18,193023.27,29.77,39.41,3171367.96
REC-000030,BIZ-0002,6,2024,1681351.97,455461.51,29196.25,33.77,616.92,56.28,17698.44,389.28,146209.62,29.32,22.57,2166009.73
REC-000031,BIZ-0002,7,2024,2146139.12,881933.68,56534.21,51.49,609.82,85.82,22590.94,753.79,181786.07,29.87,21.88,3084607.01
REC-000032,BIZ-0002,8,2024,2043247.96,1180290.13,75659.62,61.4,593.31,102.33,21507.87,1008.79,193277.15,28.15,34.49,3299197.71
REC-000033,BIZ-0002,9,2024,2194959.04,662512.87,42468.77,39.33,607.65,65.55,23104.83,566.25,165891.81,27.92,28.08,2899940.68
REC-000034,BIZ-0002,10,2024,2132022.15,791920.21,50764.12,50.07,612.2,83.44,22442.34,676.85,179464.66,25.76,35.78,2974706.48
REC-000035,BIZ-0002,11,2024,1577838.34,623144.74,39945.18,41.38,604.23,68.97,16608.82,532.6,154472.49,24.48,31.54,2240928.26
REC-000036,BIZ-0002,12,2024,1686257.48,812661.62,52093.69,50.17,612.02,83.62,17750.08,694.58,169286.93,26.18,44.43,2551012.79
REC-000037,BIZ-0002,1,2025,2149481.29,638803.75,40948.96,28.6,647.97,47.67,22626.12,545.99,149817.3,26.94,43.86,2829234.0
REC-000038,BIZ-0002,2,2025,1923543.23,1066320.27,68353.86,46.55,550.73,77.59,20247.82,911.38,169719.87,28.17,24.71,3058217.36
REC-000039,BIZ-0002,3,2025,2201312.02,828603.7,53115.62,65.31,586.78,108.86,23171.71,708.21,202416.0,29.13,40.27,3083031.34
REC-000040,BIZ-0002,4,2025,1980145.85,1170617.12,75039.56,65.65,563.79,109.41,20843.64,1000.53,197763.85,30.52,20.98,3225802.53
REC-000041,BIZ-0002,5,2025,2184478.13,874240.08,56041.03,42.11,625.46,70.18,22994.51,747.21,169540.86,30.76,29.1,3114759.24
REC-000042,BIZ-0002,6,2025,1931516.04,623093.75,39941.91,40.05,606.45,66.75,20331.75,532.56,160801.7,30.59,21.31,2594551.7
REC-000043,BIZ-0002,7,2025,1721618.98,1383867.31,88709.44,60.21,595.29,100.35,18122.31,1182.79,184164.59,29.39,29.66,3194195.73
REC-000044,BIZ-0002,8,2025,1565909.37,1185902.92,76019.42,52.88,607.51,88.13,16483.26,1013.59,170296.39,28.25,23.76,2827831.71
REC-000045,BIZ-0002,9,2025,2042395.08,640369.56,41049.33,32.03,619.82,53.38,21498.9,547.32,152138.33,26.29,36.4,2723813.97
REC-000046,BIZ-0002,10,2025,2012533.43,525308.12,33673.6,39.81,629.29,66.35,21184.56,448.98,162340.86,24.84,33.97,2571515.15
REC-000047,BIZ-0002,11,2025,2333815.18,800680.95,51325.7,62.59,568.89,104.31,24566.48,684.34,201665.91,25.99,43.68,3185821.83
REC-000048,BIZ-0002,12,2025,1570806.83,891363.58,57138.69,39.05,630.56,65.08,16534.81,761.85,151040.67,26.24,32.71,2519309.1
REC-000049,BIZ-0003,1,2024,459160.34,34156.99,10610.9,7.0,390.66,70.0,5456.07,40.42,33084.03,26.37,80.28,503928.23
REC-000050,BIZ-0003,2,2024,535081.53,36207.07,11247.76,4.93,381.65,49.29,6255.24,42.85,32833.13,27.51,81.01,582536.36
REC-000051,BIZ-0003,3,2024,622903.04,35639.08,11071.31,5.28,407.85,52.81,7179.67,42.18,34466.31,29.31,76.84,669613.43
REC-000052,BIZ-0003,4,2024,549156.11,42696.32,13263.65,5.31,392.69,53.11,6403.39,50.53,33323.02,29.34,60.97,605116.08
REC-000053,BIZ-0003,5,2024,476146.92,47749.96,14833.57,5.74,403.28,57.38,5634.87,56.51,32469.0,31.03,56.44,538730.45
REC-000054,BIZ-0003,6,2024,614188.86,18601.75,5778.65,3.55,410.27,35.53,7087.95,22.01,33119.03,30.43,79.83,638569.26
REC-000055,BIZ-0003,7,2024,645022.95,23917.94,7430.13,3.37,426.93,33.73,7412.52,28.31,33479.92,30.37,80.88,676371.02
REC-000056,BIZ-0003,8,2024,575922.43,38108.58,11838.46,6.0,400.64,60.02,6685.14,45.1,34228.8,28.17,69.54,625869.47
REC-000057,BIZ-0003,9,2024,430248.98,41315.92,12834.83,5.22,393.59,52.21,5151.74,48.89,31382.29,26.55,60.35,484399.73
REC-000058,BIZ-0003,10,2024,485876.66,48476.73,15059.34,6.7,393.62,67.04,5737.29,57.37,33298.96,24.76,70.86,549412.73
REC-000059,BIZ-0003,11,2024,402677.97,19725.87,6127.86,3.22,413.59,32.21,4861.52,23.34,29547.26,25.54,59.11,428531.7
REC-000060,BIZ-0003,12,2024,438584.08,50637.83,15730.69,6.6,394.69,65.97,5239.47,59.93,32477.3,25.87,82.42,504952.6
REC-000061,BIZ-0003,1,2025,521042.25,24868.81,7725.52,4.28,417.82,42.84,6107.46,29.43,32160.01,27.67,85.71,553636.58
REC-000062,BIZ-0003,2,2025,431637.07,18268.41,5675.1,3.93,376.74,39.34,5166.35,21.62,30503.38,27.73,57.69,455580.58
REC-000063,BIZ-0003,3,2025,435490.65,21648.82,6725.23,2.67,433.94,26.72,5206.91,25.62,29681.02,29.77,66.06,463864.7
REC-000064,BIZ-0003,4,2025,611119.48,31469.34,9775.98,4.61,399.69,46.11,7055.64,37.24,33811.15,30.1,82.43,652364.8
REC-000065,BIZ-0003,5,2025,443340.61,26009.2,8079.78,3.17,428.93,31.73,5289.54,30.78,30155.3,31.47,55.63,477429.59
REC-000066,BIZ-0003,6,2025,590673.16,16918.19,5255.65,3.57,410.11,35.69,6840.41,20.02,32759.19,30.43,68.97,612847.0
REC-000067,BIZ-0003,7,2025,557125.16,21593.24,6707.96,2.78,432.83,27.83,6487.28,25.55,31678.76,28.62,76.09,585426.36
REC-000068,BIZ-0003,8,2025,549186.37,36941.12,11475.79,5.09,409.78,50.88,6403.71,43.72,33166.96,28.0,72.69,597603.28
REC-000069,BIZ-0003,9,2025,455583.97,25423.06,7897.69,5.07,395.12,50.68,5418.42,30.09,31675.22,26.25,55.05,488904.72
REC-000070,BIZ-0003,10,2025,485779.86,44298.3,13761.31,6.79,392.76,67.9,5736.27,52.42,33357.63,26.24,72.27,543839.47
REC-000071,BIZ-0003,11,2025,406487.48,28349.4,8806.77,6.43,381.5,64.3,4901.62,33.55,31853.42,26.19,71.75,443643.65
REC-000072,BIZ-0003,12,2025,565510.93,18524.02,5754.5,4.11,419.59,41.07,6575.55,21.92,32738.17,25.56,67.32,589789.45
REC-000073,BIZ-0004,1,2024,5766765.37,2973241.27,90280.61,72.66,480.68,80.73,60702.79,2407.48,411608.78,26.13,78.0,8830287.25
REC-000074,BIZ-0004,2,2024,6551976.91,3269480.77,99275.73,76.5,440.19,85.0,68968.18,2647.35,440711.92,27.12,67.33,9920733.41
REC-000075,BIZ-0004,3,2024,7767368.38,1213719.39,36853.83,47.48,508.65,52.76,81761.77,982.77,408868.16,29.69,89.33,9017941.6
REC-000076,BIZ-0004,4,2024,5828585.71,2034228.08,61768.06,48.7,489.19,54.11,61353.53,1647.15,360524.35,30.68,88.03,7924581.85
REC-000077,BIZ-0004,5,2024,6672553.47,2588335.84,78593.19,61.09,493.53,67.88,70237.4,2095.82,409987.37,31.43,66.05,9339482.5
REC-000078,BIZ-0004,6,2024,7747929.22,2351427.9,71399.63,54.02,483.27,60.03,81557.15,1903.99,422747.84,30.1,56.28,10170756.75
REC-000079,BIZ-0004,7,2024,6500974.75,2851793.14,86592.91,86.36,465.46,95.95,68431.31,2309.14,461067.14,28.16,77.95,9439360.8
REC-000080,BIZ-0004,8,2024,9186474.52,1539775.35,46754.31,57.36,497.68,63.73,96699.73,1246.78,467939.81,27.76,70.39,10773004.18
REC-000081,BIZ-0004,9,2024,8457775.12,1281565.24,38913.92,52.8,484.63,58.67,89029.21,1037.7,438740.52,27.21,67.86,9778254.28
REC-000082,BIZ-0004,10,2024,9338144.19,1396716.66,42410.43,47.37,508.78,52.63,98296.25,1130.94,449951.91,25.65,70.07,10777271.28
REC-000083,BIZ-0004,11,2024,6358240.94,2560905.2,77760.28,64.09,472.09,71.21,66928.85,2073.61,408326.05,24.55,66.48,8996906.42
REC-000084,BIZ-0004,12,2024,7068995.68,3659801.47,111127.57,81.79,470.53,90.88,74410.48,2963.4,465962.68,25.03,70.54,10839924.72
REC-000085,BIZ-0004,1,2025,7862602.8,2030382.84,61651.3,85.86,466.01,95.4,82764.24,1644.03,495809.43,27.03,70.22,9954636.94
REC-000086,BIZ-0004,2,2025,7350210.67,2179455.94,66177.81,83.24,414.59,92.49,77370.64,1764.74,476562.46,28.41,69.22,9595844.42
REC-000087,BIZ-0004,3,2025,8390748.79,1612249.17,48954.93,63.6,490.74,70.67,88323.67,1305.46,460739.93,28.12,84.7,10051952.89
REC-000088,BIZ-0004,4,2025,6985441.66,2206644.43,67003.37,95.82,436.84,106.46,73530.96,1786.76,494623.55,29.53,77.58,9259089.46
REC-000089,BIZ-0004,5,2025,6891335.01,1543492.58,46867.18,63.97,490.33,71.08,72540.37,1249.79,422080.91,29.67,70.75,8481694.77
REC-000090,BIZ-0004,6,2025,6562986.99,2461224.57,74733.54,53.56,483.79,59.51,69084.07,1992.89,390536.59,29.3,67.84,9098945.1
REC-000091,BIZ-0004,7,2025,7169969.6,2351804.95,71411.08,93.55,457.46,103.95,75473.36,1904.3,494500.4,28.11,61.51,9593185.63
REC-000092,BIZ-0004,8,2025,6319471.9,2935063.64,89121.37,74.55,478.58,82.83,66520.76,2376.57,430308.07,28.66,79.64,9343656.91
REC-000093,BIZ-0004,9,2025,5621665.07,1077410.78,32714.9,40.67,498.12,45.18,59175.42,872.4,337402.17,27.95,62.01,6731790.75
REC-000094,BIZ-0004,10,2025,9089855.35,4518010.57,137186.56,96.96,453.68,107.73,95682.69,3658.31,552510.71,26.35,89.9,13745052.48
REC-000095,BIZ-0004,11,2025,7710188.69,1609181.2,48861.78,54.29,482.97,60.33,81159.88,1302.98,422343.91,25.9,79.83,9368231.67
REC-000096,BIZ-0004,12,2025,8353677.04,1463460.89,44437.07,46.97,509.22,52.19,87933.44,1184.99,423162.62,25.01,79.83,9861575.0
REC-000097,BIZ-0005,1,2024,5205609.37,1203756.28,36551.3,46.6,677.43,66.57,54795.89,974.7,273471.91,26.09,97.61,6445916.95
REC-000098,BIZ-0005,2,2024,4461107.8,1624574.38,49329.18,83.17,577.19,118.81,46959.03,1315.44,323619.71,27.67,86.88,6135011.36
REC-000099,BIZ-0005,3,2024,4369197.27,1792945.49,54441.66,70.13,643.81,100.19,45991.55,1451.78,298216.64,30.17,73.71,6216584.42
REC-000100,BIZ-0005,4,2024,4795523.8,936838.79,28446.52,41.14,661.23,58.77,50479.2,758.57,255012.22,29.95,82.65,5760809.11
REC-000101,BIZ-0005,5,2024,4661614.13,1305718.23,39647.31,41.29,685.02,58.98,49069.62,1057.26,252458.36,29.48,84.11,6006979.67
REC-000102,BIZ-0005,6,2024,5262264.59,1073748.1,32603.69,41.32,660.97,59.03,55392.26,869.43,265165.22,30.29,87.28,6368616.38
REC-000103,BIZ-0005,7,2024,4859823.06,1002553.64,30441.91,49.9,672.71,71.29,51156.03,811.78,272135.85,30.13,93.62,5892818.61
REC-000104,BIZ-0005,8,2024,5308535.49,1341529.25,40734.69,60.43,657.68,86.32,55879.32,1086.26,300525.43,29.04,77.86,6690799.43
REC-000105,BIZ-0005,9,2024,5193247.85,1361228.68,41332.85,48.45,650.79,69.21,54665.77,1102.21,276538.11,25.74,77.1,6595809.38
REC-000106,BIZ-0005,10,2024,4602141.87,1749042.31,53108.57,64.0,652.57,91.43,48443.6,1416.23,292084.7,26.11,74.43,6404292.75
REC-000107,BIZ-0005,11,2024,5267562.44,1714576.72,52062.05,51.54,646.37,73.63,55448.03,1388.32,283674.1,24.71,88.24,7034201.21
REC-000108,BIZ-0005,12,2024,3845782.52,2494960.31,75757.9,81.48,627.6,116.4,40481.92,2020.21,307625.68,24.73,94.46,6416500.73
REC-000109,BIZ-0005,1,2025,4523419.65,1163004.9,35313.91,65.29,650.73,93.27,47614.94,941.7,292747.05,26.19,77.48,5721738.46
REC-000110,BIZ-0005,2,2025,4864879.43,1071948.38,32549.04,49.8,600.85,71.15,51209.26,867.97,272063.21,28.93,86.19,5969376.85
REC-000111,BIZ-0005,3,2025,4571873.59,1376436.87,41794.64,68.74,645.8,98.2,48124.99,1114.52,299985.69,29.99,82.56,5990105.1
REC-000112,BIZ-0005,4,2025,4377815.8,1353053.1,41084.61,42.04,659.94,60.06,46082.27,1095.59,247836.12,29.96,84.08,5771953.51
REC-000113,BIZ-0005,5,2025,4572532.5,1660213.24,50411.33,54.54,666.09,77.91,48131.92,1344.3,274430.65,30.07,97.69,6283157.07
REC-000114,BIZ-0005,6,2025,4099670.35,1027693.68,31205.27,41.0,661.42,58.58,43154.42,832.14,240115.28,30.2,74.76,5158569.3
REC-000115,BIZ-0005,7,2025,5159021.58,1896440.76,57584.23,77.34,633.51,110.49,54305.49,1535.58,327830.23,28.39,73.32,7113046.57
REC-000116,BIZ-0005,8,2025,5341060.06,2403097.41,72968.54,80.75,628.64,115.36,56221.68,1945.83,337800.26,29.11,95.46,7817126.01
REC-000117,BIZ-0005,9,2025,5247711.59,1880279.09,57093.49,57.87,637.32,82.68,55239.07,1522.49,294651.23,26.01,76.14,7185084.17
REC-000118,BIZ-0005,10,2025,4169319.92,1231448.45,37392.16,57.4,661.99,82.01,43887.58,997.12,271102.9,25.83,74.34,5438160.53
REC-000119,BIZ-0005,11,2025,3961498.21,2048094.96,62189.12,64.28,628.17,91.83,41699.98,1658.38,279101.12,25.7,73.27,6071782.29
REC-000120,BIZ-0005,12,2025,3552190.85,789471.14,23971.8,40.27,686.48,57.52,37391.48,639.25,227264.21,26.25,79.43,4365633.79
REC-000121,BIZ-0006,1,2024,2619254.66,146639.08,21149.87,16.87,680.78,37.49,34414.7,141.0,87323.9,26.18,74.07,2787043.61
REC-000122,BIZ-0006,2,2024,2470583.41,293584.8,42343.96,25.31,615.68,56.25,32849.74,282.29,93466.22,28.15,73.96,2806512.17
REC-000123,BIZ-0006,3,2024,3173927.61,285784.1,41218.86,30.87,649.66,68.61,40253.36,274.79,107633.69,29.37,89.24,3500930.57
REC-000124,BIZ-0006,4,2024,3503718.81,324576.31,46813.89,29.56,629.42,65.68,43724.85,312.09,110548.34,29.2,74.32,3875109.01
REC-000125,BIZ-0006,5,2024,2792840.68,144073.41,20779.82,16.75,681.06,37.21,36241.92,138.53,89399.3,29.65,81.88,2957693.91
REC-000126,BIZ-0006,6,2024,3099201.49,288084.54,41550.65,19.44,651.91,43.19,39466.77,277.0,95824.6,30.68,88.53,3428836.68
REC-000127,BIZ-0006,7,2024,2704855.71,326294.97,47061.77,25.48,661.66,56.61,35315.77,313.75,96580.76,28.39,92.74,3078212.45
REC-000128,BIZ-0006,8,2024,2889916.68,337153.8,48627.95,28.37,655.24,63.03,37263.78,324.19,101663.68,28.82,81.59,3275698.43
REC-000129,BIZ-0006,9,2024,2123124.52,218357.62,31493.89,23.95,641.88,53.22,29192.28,209.96,87781.51,26.9,77.67,2372976.03
REC-000130,BIZ-0006,10,2024,3270524.93,481652.39,69469.09,37.33,635.3,82.97,41270.18,463.13,114991.94,25.63,72.15,3821646.41
REC-000131,BIZ-0006,11,2024,2926451.42,498850.82,71949.64,39.81,606.64,88.46,37648.35,479.66,112996.01,25.73,70.76,3497251.88
REC-000132,BIZ-0006,12,2024,2618560.27,389800.92,56221.29,28.72,654.44,63.83,34407.39,374.81,98577.38,25.18,63.69,3064582.48
REC-000133,BIZ-0006,1,2025,3193969.73,271550.4,39165.92,21.74,669.95,48.32,40464.33,261.11,99214.35,27.41,74.55,3504686.05
REC-000134,BIZ-0006,2,2025,2641022.87,295785.49,42661.37,26.11,590.73,58.03,34643.84,284.41,96381.68,28.48,68.3,2979469.73
REC-000135,BIZ-0006,3,2025,2985634.66,397517.78,57334.3,27.42,657.33,60.94,38271.33,382.23,101976.72,28.54,78.56,3440486.74
REC-000136,BIZ-0006,4,2025,3065211.66,461853.45,66613.48,29.63,629.25,65.85,39108.99,444.09,105081.13,30.71,85.29,3593678.59
REC-000137,BIZ-0006,5,2025,3554011.9,330977.01,47737.07,27.13,657.99,60.28,44254.25,318.25,108875.44,30.45,74.44,3932725.98
REC-000138,BIZ-0006,6,2025,3536324.77,461939.44,66625.88,32.6,622.66,72.44,44068.07,444.17,113850.22,30.28,84.3,4064890.09
REC-000139,BIZ-0006,7,2025,3470644.75,237724.87,34287.24,22.66,667.92,50.35,43376.7,228.58,103574.68,28.68,77.98,3742656.86
REC-000140,BIZ-0006,8,2025,3427648.93,443002.83,63894.64,33.2,644.5,73.77,42924.12,425.96,113045.42,29.06,94.41,3934546.4
REC-000141,BIZ-0006,9,2025,2872728.83,527725.93,76114.32,38.88,608.7,86.4,37082.85,507.43,111434.01,26.72,77.83,3476569.08
REC-000142,BIZ-0006,10,2025,2881221.05,424408.88,61212.82,37.92,634.0,84.27,37172.24,408.09,110630.76,25.33,80.92,3366842.75
REC-000143,BIZ-0006,11,2025,2388427.9,256479.44,36992.23,16.79,657.79,37.31,31984.95,246.61,84333.52,25.13,87.51,2681899.57
REC-000144,BIZ-0006,12,2025,3164014.34,338282.16,48790.7,34.25,642.17,76.1,40149.01,325.27,110713.11,24.82,92.49,3551087.2
REC-000145,BIZ-0007,1,2024,1641347.42,159321.43,22979.05,17.48,551.46,49.94,17277.34,153.19,67337.59,27.54,70.95,1823647.9
REC-000146,BIZ-0007,2,2024,1323234.79,295646.71,42641.35,29.67,477.81,84.79,13928.79,284.28,74905.6,28.58,69.9,1661522.85
REC-000147,BIZ-0007,3,2024,1483305.41,283425.65,40878.7,21.34,540.42,60.98,15613.74,272.52,69013.08,28.61,65.31,1807609.76
REC-000148,BIZ-0007,4,2024,2088412.29,199891.86,28830.56,15.29,538.31,43.69,21983.29,192.2,70905.79,29.29,93.83,2317134.71
REC-000149,BIZ-0007,5,2024,1839478.9,279032.06,40245.01,26.8,524.82,76.58,19362.94,268.3,78696.75,31.41,77.7,2158755.97
REC-000150,BIZ-0007,6,2024,1787515.7,248329.54,35816.76,24.81,511.12,70.88,18815.95,238.78,76145.56,29.65,63.95,2071662.0
REC-000151,BIZ-0007,7,2024,1426543.88,340733.31,49144.23,29.99,515.72,85.68,15016.25,327.63,76508.4,29.82,90.06,1816421.42
REC-000152,BIZ-0007,8,2024,1411837.75,398454.21,57469.36,28.35,520.41,80.99,14861.45,383.13,74763.31,28.81,92.82,1867761.32
REC-000153,BIZ-0007,9,2024,1928568.33,153142.11,22087.8,17.82,531.08,50.92,20300.72,147.25,71291.99,26.0,86.72,2103798.24
REC-000154,BIZ-0007,10,2024,1938687.03,217432.16,31360.41,18.7,547.97,53.43,20407.23,209.07,72253.26,25.35,81.89,2187479.6
REC-000155,BIZ-0007,11,2024,1898131.09,177861.77,25653.14,14.83,539.62,42.38,19980.33,171.02,68068.07,25.84,79.3,2101646.0
REC-000156,BIZ-0007,12,2024,1573895.06,343252.84,49507.62,26.32,526.19,75.21,16567.32,330.05,74888.62,25.29,88.69,1966655.52
REC-000157,BIZ-0007,1,2025,1458551.38,237197.09,34211.12,17.93,550.17,51.23,15353.17,228.07,65456.56,27.27,62.46,1729959.59
REC-000158,BIZ-0007,2,2025,1748270.89,229310.33,33073.61,20.06,485.9,57.3,18402.85,220.49,71136.33,27.26,82.16,2010654.83
REC-000159,BIZ-0007,3,2025,1380402.15,367411.02,52991.97,31.15,512.41,88.99,14530.55,353.28,77026.73,28.84,75.23,1800805.14
REC-000160,BIZ-0007,4,2025,1572347.55,213995.03,30864.67,20.85,522.43,59.57,16551.03,205.76,69668.41,31.21,62.23,1817207.25
REC-000161,BIZ-0007,5,2025,1763904.1,189054.25,27267.44,17.28,552.01,49.39,18567.41,181.78,68701.55,30.09,81.22,1980225.79
REC-000162,BIZ-0007,6,2025,1687758.26,204040.48,29428.92,15.32,538.22,43.78,17765.88,196.19,65877.37,29.53,84.04,1921227.66
REC-000163,BIZ-0007,7,2025,1961401.2,331224.39,47772.75,25.54,528.43,72.97,20646.33,318.48,79036.78,30.27,91.3,2340398.34
REC-000164,BIZ-0007,8,2025,1463921.8,362050.16,52218.77,30.68,513.75,87.65,15409.7,348.13,77636.87,29.06,74.13,1878190.73
REC-000165,BIZ-0007,9,2025,1630427.43,385537.86,55606.42,25.76,508.39,73.61,17162.39,370.71,75069.11,26.64,94.63,2071571.71
REC-000166,BIZ-0007,10,2025,1906869.21,357250.4,51526.5,26.92,524.5,76.9,20072.31,343.51,79656.78,26.45,88.47,2315646.11
REC-000167,BIZ-0007,11,2025,1701967.79,245554.84,35416.56,22.42,517.95,64.05,17915.45,236.11,72795.01,25.73,87.98,1982939.19
REC-000168,BIZ-0007,12,2025,1783275.15,290133.96,41846.24,29.63,516.74,84.66,18771.32,278.97,80674.65,26.84,65.7,2115255.35
REC-000169,BIZ-0008,1,2024,10146878.29,2491727.49,75659.74,63.84,367.41,70.93,106809.25,2017.59,507462.21,26.84,60.76,12714265.52
REC-000170,BIZ-0008,2,2024,10797931.71,1512213.02,45917.4,64.07,338.88,71.18,113662.44,1224.46,525100.0,28.52,72.11,12356062.13
REC-000171,BIZ-0008,3,2024,9026980.35,2766096.28,83990.78,71.2,359.22,79.12,95020.85,2239.75,494201.41,28.37,69.54,11877067.41
REC-000172,BIZ-0008,4,2024,7285846.54,999283.46,30342.62,36.19,383.99,40.21,76693.12,809.14,371350.75,29.7,55.76,8315472.62
REC-000173,BIZ-0008,5,2024,9843419.99,1662494.92,50480.62,70.09,360.46,77.88,103614.95,1346.15,513242.63,29.48,69.83,11556395.53
REC-000174,BIZ-0008,6,2024,9392133.15,1442792.25,43809.48,54.09,364.1,60.1,98864.56,1168.25,466152.17,31.11,89.51,10878734.88
REC-000175,BIZ-0008,7,2024,10089602.95,3044613.29,92447.77,96.72,330.88,107.46,106206.35,2465.27,578296.13,28.38,77.45,13226664.01
REC-000176,BIZ-0008,8,2024,10897001.85,1447458.77,43951.18,59.78,371.92,66.42,114705.28,1172.03,518284.2,28.94,70.7,12388411.8
REC-000177,BIZ-0008,9,2024,7189404.08,2269404.63,68909.05,90.2,323.98,100.22,75677.94,1837.57,487630.56,27.86,85.61,9527717.76
REC-000178,BIZ-0008,10,2024,6808026.71,4184724.55,127066.54,97.66,329.83,108.51,71663.44,3388.44,494009.8,27.02,68.76,11119817.8
REC-000179,BIZ-0008,11,2024,8999478.69,2659090.25,80741.61,81.3,333.86,90.34,94731.35,2153.11,515694.81,26.11,89.25,11739310.55
REC-000180,BIZ-0008,12,2024,8306999.67,1230618.98,37366.97,45.77,387.48,50.86,87442.1,996.45,419305.08,25.55,63.04,9574985.62
REC-000181,BIZ-0008,1,2025,6591309.09,2903401.26,88159.96,77.59,352.13,86.21,69382.2,2350.93,444158.9,27.65,81.79,9582870.31
REC-000182,BIZ-0008,2,2025,7858120.77,1484848.08,45086.48,40.24,351.21,44.71,82717.06,1202.31,395319.17,29.05,86.12,9388055.33
