dataset_source,source_grain,source_row_id,customer_id,building_type,customer_type,region,floor_area_sqft,floor_area_m2,occupants,appliance_count,outdoor_temperature,day_type,reported_energy_consumption,energy_cost_brl
energy_consumption,customer_observation,28,CUSTOMER_0028,,residential,North,,52,3,,,,,67.51
energy_consumption,customer_observation,29,CUSTOMER_0029,,residential,Midwest,,45,1,,,,,60.31
energy_consumption,customer_observation,30,CUSTOMER_0030,,residential,North,,45,3,,,,,93.18
energy_consumption,customer_observation,31,CUSTOMER_0031,,residential,Northeast,,17,1,,,,,55.69
energy_consumption,customer_observation,32,CUSTOMER_0032,,residential,Midwest,,77,3,,,,,56.69
energy_consumption,customer_observation,33,CUSTOMER_0033,,residential,Midwest,,52,1,,,,,67.83
energy_consumption,customer_observation,34,CUSTOMER_0034,,commercial,Midwest,,52,1,,,,,78.9
energy_consumption,customer_observation,35,CUSTOMER_0035,,commercial,Northeast,,45,2,,,,,73.36
energy_consumption,customer_observation,36,CUSTOMER_0036,,commercial,Northeast,,24,3,,,,,54.8
energy_consumption,customer_observation,37,CUSTOMER_0037,,residential,Midwest,,52,4,,,,,156.34
energy_consumption,customer_observation,38,CUSTOMER_0038,,residential,South,,24,1,,,,,101.43
energy_consumption,customer_observation,39,CUSTOMER_0039,,commercial,Midwest,,45,3,,,,,66.84
energy_consumption,customer_observation,40,CUSTOMER_0040,,residential,South,,17,1,,,,,90.06
energy_consumption,customer_observation,41,CUSTOMER_0041,,residential,Midwest,,77,2,,,,,82.21
energy_consumption,customer_observation,42,CUSTOMER_0042,,residential,Midwest,,17,2,,,,,64.69
energy_consumption,customer_observation,43,CUSTOMER_0043,,residential,Northeast,,24,2,,,,,65.96
energy_consumption,customer_observation,44,CUSTOMER_0044,,commercial,Midwest,,45,2,,,,,77.72
energy_consumption,customer_observation,45,CUSTOMER_0045,,residential,Midwest,,45,4,,,,,126.84
energy_consumption,customer_observation,46,CUSTOMER_0046,,commercial,Midwest,,45,4,,,,,119.82
energy_consumption,customer_observation,47,CUSTOMER_0047,,residential,Midwest,,24,1,,,,,93.97
energy_consumption,customer_observation,48,CUSTOMER_0048,,residential,Midwest,,17,3,,,,,77.22
energy_consumption,customer_observation,49,CUSTOMER_0049,,residential,Northeast,,45,2,,,,,86.13
energy_consumption,customer_observation,50,CUSTOMER_0050,,residential,Midwest,,77,2,,,,,62.22
energy_consumption,customer_observation,51,CUSTOMER_0051,,commercial,Northeast,,52,4,,,,,133.1
energy_consumption,customer_observation,52,CUSTOMER_0052,,commercial,Southeast,,45,4,,,,,121.29
energy_consumption,customer_observation,53,CUSTOMER_0053,,commercial,Northeast,,77,2,,,,,79.53
energy_consumption,customer_observation,54,CUSTOMER_0054,,commercial,North,,45,3,,,,,92.6
energy_consumption,customer_observation,55,CUSTOMER_0055,,residential,Midwest,,45,1,,,,,91.98
energy_consumption,customer_observation,56,CUSTOMER_0056,,commercial,Midwest,,45,1,,,,,70.69
energy_consumption,customer_observation,57,CUSTOMER_0057,,residential,Midwest,,45,1,,,,,88.15
energy_consumption,customer_observation,58,CUSTOMER_0058,,residential,Northeast,,45,1,,,,,100.84
energy_consumption,customer_observation,59,CUSTOMER_0059,,residential,Midwest,,45,3,,,,,84.63
energy_consumption,customer_observation,60,CUSTOMER_0060,,residential,Northeast,,24,3,,,,,60.12
energy_consumption,customer_observation,61,CUSTOMER_0061,,residential,South,,24,3,,,,,87.4
energy_consumption,customer_observation,62,CUSTOMER_0062,,residential,South,,17,2,,,,,57.89
energy_consumption,customer_observation,63,CUSTOMER_0063,,commercial,Midwest,,45,3,,,,,97.28
energy_consumption,customer_observation,64,CUSTOMER_0064,,residential,Northeast,,24,1,,,,,79.03
energy_consumption,customer_observation,65,CUSTOMER_0065,,residential,Midwest,,17,3,,,,,72.28
energy_consumption,customer_observation,66,CUSTOMER_0066,,residential,North,,45,2,,,,,55.43
energy_consumption,customer_observation,67,CUSTOMER_0067,,residential,Midwest,,45,4,,,,,124.73
energy_consumption,customer_observation,68,CUSTOMER_0068,,commercial,Northeast,,45,1,,,,,98.88
energy_consumption,customer_observation,69,CUSTOMER_0069,,residential,South,,45,4,,,,,105.01
energy_consumption,customer_observation,70,CUSTOMER_0070,,commercial,North,,52,3,,,,,76.87
energy_consumption,customer_observation,71,CUSTOMER_0071,,commercial,Midwest,,77,1,,,,,100.31
energy_consumption,customer_observation,72,CUSTOMER_0072,,residential,Midwest,,52,1,,,,,72.78
energy_consumption,customer_observation,73,CUSTOMER_0073,,residential,Midwest,,45,3,,,,,74.49
energy_consumption,customer_observation,74,CUSTOMER_0074,,commercial,North,,24,3,,,,,82.21
energy_consumption,customer_observation,75,CUSTOMER_0075,,commercial,South,,77,2,,,,,76.27
energy_consumption,customer_observation,76,CUSTOMER_0076,,commercial,Midwest,,24,3,,,,,61.16
energy_consumption,customer_observation,77,CUSTOMER_0077,,commercial,Midwest,,24,3,,,,,53.45
energy_consumption,customer_observation,78,CUSTOMER_0078,,residential,Northeast,,45,3,,,,,83.81
energy_consumption,customer_observation,79,CUSTOMER_0079,,residential,Midwest,,17,1,,,,,99.78
energy_consumption,customer_observation,80,CUSTOMER_0080,,residential,Midwest,,77,2,,,,,57.96
energy_consumption,customer_observation,81,CUSTOMER_0081,,commercial,North,,45,1,,,,,63.33
energy_consumption,customer_observation,82,CUSTOMER_0082,,residential,North,,45,3,,,,,71.51
energy_consumption,customer_observation,83,CUSTOMER_0083,,residential,Southeast,,45,2,,,,,94.03
energy_consumption,customer_observation,84,CUSTOMER_0084,,residential,Northeast,,45,3,,,,,66.33
energy_consumption,customer_observation,85,CUSTOMER_0085,,residential,Northeast,,17,1,,,,,97.79
energy_consumption,customer_observation,86,CUSTOMER_0086,,residential,Midwest,,45,1,,,,,55.32
energy_consumption,customer_observation,87,CUSTOMER_0087,,commercial,Midwest,,45,3,,,,,100.82
energy_consumption,customer_observation,88,CUSTOMER_0088,,residential,North,,45,2,,,,,81.29
energy_consumption,customer_observation,89,CUSTOMER_0089,,commercial,Midwest,,45,1,,,,,86.33
energy_consumption,customer_observation,90,CUSTOMER_0090,,residential,North,,24,3,,,,,71.38
energy_consumption,customer_observation,91,CUSTOMER_0091,,residential,North,,24,3,,,,,92.66
energy_consumption,customer_observation,92,CUSTOMER_0092,,commercial,North,,24,3,,,,,61.05
energy_consumption,customer_observation,93,CUSTOMER_0093,,commercial,Southeast,,24,2,,,,,55.01
energy_consumption,customer_observation,94,CUSTOMER_0094,,residential,North,,52,3,,,,,72.81
energy_consumption,customer_observation,95,CUSTOMER_0095,,commercial,North,,52,4,,,,,150.65
energy_consumption,customer_observation,96,CUSTOMER_0096,,residential,Midwest,,24,3,,,,,91.27
energy_consumption,customer_observation,97,CUSTOMER_0097,,residential,Southeast,,45,4,,,,,132.21
energy_consumption,customer_observation,98,CUSTOMER_0098,,residential,Northeast,,45,1,,,,,81.88
energy_consumption,customer_observation,99,CUSTOMER_0099,,residential,Midwest,,24,3,,,,,59.17
energy_consumption,customer_observation,100,CUSTOMER_0100,,residential,North,,24,2,,,,,95.67
energy_consumption,customer_observation,101,CUSTOMER_0101,,residential,Midwest,,77,3,,,,,92.91
energy_consumption,customer_observation,102,CUSTOMER_0102,,residential,Midwest,,45,4,,,,,139.84
energy_consumption,customer_observation,103,CUSTOMER_0103,,residential,Midwest,,77,4,,,,,129.41
energy_consumption,customer_observation,104,CUSTOMER_0104,,residential,Northeast,,24,2,,,,,102.02
energy_consumption,customer_observation,105,CUSTOMER_0105,,commercial,Northeast,,45,4,,,,,152.04
energy_consumption,customer_observation,106,CUSTOMER_0106,,residential,North,,24,3,,,,,85.59
energy_consumption,customer_observation,107,CUSTOMER_0107,,residential,Northeast,,24,3,,,,,71.59
energy_consumption,customer_observation,108,CUSTOMER_0108,,commercial,North,,45,3,,,,,84.24
energy_consumption,customer_observation,109,CUSTOMER_0109,,residential,Midwest,,24,2,,,,,82.05
energy_consumption,customer_observation,110,CUSTOMER_0110,,residential,South,,24,1,,,,,72.74
energy_consumption,customer_observation,111,CUSTOMER_0111,,residential,South,,24,2,,,,,68.25
energy_consumption,customer_observation,112,CUSTOMER_0112,,residential,Southeast,,17,1,,,,,73.4
energy_consumption,customer_observation,113,CUSTOMER_0113,,commercial,Midwest,,45,2,,,,,81.97
energy_consumption,customer_observation,114,CUSTOMER_0114,,commercial,Midwest,,45,3,,,,,74.48
energy_consumption,customer_observation,115,CUSTOMER_0115,,residential,Northeast,,17,3,,,,,66.03
energy_consumption,customer_observation,116,CUSTOMER_0116,,commercial,Midwest,,24,1,,,,,91.58
energy_consumption,customer_observation,117,CUSTOMER_0117,,commercial,Midwest,,17,1,,,,,79.79
energy_consumption,customer_observation,118,CUSTOMER_0118,,residential,Midwest,,45,4,,,,,107.57
energy_consumption,customer_observation,119,CUSTOMER_0119,,commercial,Midwest,,17,2,,,,,71.41
energy_consumption,customer_observation,120,CUSTOMER_0120,,residential,Northeast,,45,4,,,,,152.36
energy_consumption,customer_observation,121,CUSTOMER_0121,,commercial,Northeast,,17,2,,,,,91.28
energy_consumption,customer_observation,122,CUSTOMER_0122,,commercial,South,,24,1,,,,,69.1
energy_consumption,customer_observation,123,CUSTOMER_0123,,residential,North,,52,1,,,,,100.68
energy_consumption,customer_observation,124,CUSTOMER_0124,,residential,Midwest,,45,2,,,,,56.43
energy_consumption,customer_observation,125,CUSTOMER_0125,,residential,South,,17,1,,,,,101.86
energy_consumption,customer_observation,126,CUSTOMER_0126,,residential,Midwest,,52,1,,,,,65.12
energy_consumption,customer_observation,127,CUSTOMER_0127,,commercial,Midwest,,45,1,,,,,52.97
energy_consumption,customer_observation,128,CUSTOMER_0128,,commercial,Northeast,,52,1,,,,,74.78
energy_consumption,customer_observation,129,CUSTOMER_0129,,residential,Northeast,,45,3,,,,,70.93
energy_consumption,customer_observation,130,CUSTOMER_0130,,residential,Southeast,,45,4,,,,,133.41
energy_consumption,customer_observation,131,CUSTOMER_0131,,residential,Midwest,,77,4,,,,,147.53
energy_consumption,customer_observation,132,CUSTOMER_0132,,residential,Midwest,,24,3,,,,,95.76
energy_consumption,customer_observation,133,CUSTOMER_0133,,residential,North,,45,1,,,,,73.1
energy_consumption,customer_observation,134,CUSTOMER_0134,,residential,North,,45,4,,,,,127.42
energy_consumption,customer_observation,135,CUSTOMER_0135,,commercial,South,,17,2,,,,,60.11
energy_consumption,customer_observation,136,CUSTOMER_0136,,residential,Northeast,,17,3,,,,,54.94
energy_consumption,customer_observation,137,CUSTOMER_0137,,residential,Midwest,,17,2,,,,,85.43
energy_consumption,customer_observation,138,CUSTOMER_0138,,commercial,North,,45,2,,,,,55.81
energy_consumption,customer_observation,139,CUSTOMER_0139,,residential,Midwest,,45,3,,,,,90.18
energy_consumption,customer_observation,140,CUSTOMER_0140,,commercial,South,,45,4,,,,,133.41
energy_consumption,customer_observation,141,CUSTOMER_0141,,commercial,Midwest,,17,2,,,,,62.7
energy_consumption,customer_observation,142,CUSTOMER_0142,,residential,North,,45,4,,,,,133.43
energy_consumption,customer_observation,143,CUSTOMER_0143,,residential,Midwest,,77,2,,,,,61.9
energy_consumption,customer_observation,144,CUSTOMER_0144,,residential,Midwest,,24,1,,,,,75.03
energy_consumption,customer_observation,145,CUSTOMER_0145,,residential,Midwest,,45,1,,,,,93.56
energy_consumption,customer_observation,146,CUSTOMER_0146,,residential,Southeast,,45,1,,,,,76.22
energy_consumption,customer_observation,147,CUSTOMER_0147,,residential,Midwest,,45,3,,,,,60.14
energy_consumption,customer_observation,148,CUSTOMER_0148,,residential,Southeast,,45,1,,,,,89.67
energy_consumption,customer_observation,149,CUSTOMER_0149,,residential,Midwest,,52,2,,,,,62.09
energy_consumption,customer_observation,150,CUSTOMER_0150,,residential,North,,24,2,,,,,90.42
energy_consumption,customer_observation,151,CUSTOMER_0151,,commercial,Northeast,,52,4,,,,,130.13
energy_consumption,customer_observation,152,CUSTOMER_0152,,residential,Northeast,,24,2,,,,,75.8
energy_consumption,customer_observation,153,CUSTOMER_0153,,residential,South,,24,2,,,,,96.22
energy_consumption,customer_observation,154,CUSTOMER_0154,,residential,Midwest,,17,2,,,,,88.89
energy_consumption,customer_observation,155,CUSTOMER_0155,,commercial,Midwest,,45,3,,,,,54.19
energy_consumption,customer_observation,156,CUSTOMER_0156,,residential,Northeast,,45,2,,,,,67.71
energy_consumption,customer_observation,157,CUSTOMER_0157,,commercial,Northeast,,24,3,,,,,97.22
energy_consumption,customer_observation,158,CUSTOMER_0158,,commercial,Midwest,,24,2,,,,,53.44
energy_consumption,customer_observation,159,CUSTOMER_0159,,residential,Midwest,,77,4,,,,,133.75
energy_consumption,customer_observation,160,CUSTOMER_0160,,commercial,Northeast,,52,3,,,,,89.87
energy_consumption,customer_observation,161,CUSTOMER_0161,,residential,Midwest,,45,3,,,,,84.43
energy_consumption,customer_observation,162,CUSTOMER_0162,,residential,North,,45,2,,,,,91.55
energy_consumption,customer_observation,163,CUSTOMER_0163,,residential,Northeast,,45,2,,,,,89.76
energy_consumption,customer_observation,164,CUSTOMER_0164,,residential,Midwest,,24,2,,,,,88.04
energy_consumption,customer_observation,165,CUSTOMER_0165,,residential,North,,77,2,,,,,94.69
energy_consumption,customer_observation,166,CUSTOMER_0166,,commercial,South,,17,1,,,,,85.66
energy_consumption,customer_observation,167,CUSTOMER_0167,,residential,Northeast,,45,1,,,,,73.16
energy_consumption,customer_observation,168,CUSTOMER_0168,,residential,North,,24,3,,,,,76.73
energy_consumption,customer_observation,169,CUSTOMER_0169,,residential,Northeast,,45,3,,,,,89.3
energy_consumption,customer_observation,170,CUSTOMER_0170,,residential,Midwest,,45,4,,,,,151.89
energy_consumption,customer_observation,171,CUSTOMER_0171,,commercial,Midwest,,45,4,,,,,118.78
energy_consumption,customer_observation,172,CUSTOMER_0172,,residential,Midwest,,17,1,,,,,70.07
energy_consumption,customer_observation,173,CUSTOMER_0173,,residential,North,,45,4,,,,,154.87
energy_consumption,customer_observation,174,CUSTOMER_0174,,residential,North,,24,3,,,,,82.21
energy_consumption,customer_observation,175,CUSTOMER_0175,,residential,Midwest,,24,2,,,,,61.69
energy_consumption,customer_observation,176,CUSTOMER_0176,,residential,Southeast,,17,3,,,,,86.58
energy_consumption,customer_observation,177,CUSTOMER_0177,,commercial,Southeast,,45,3,,,,,103.38
energy_consumption,customer_observation,178,CUSTOMER_0178,,residential,North,,45,3,,,,,94.78
energy_consumption,customer_observation,179,CUSTOMER_0179,,commercial,Midwest,,45,1,,,,,90.79
energy_consumption,customer_observation,180,CUSTOMER_0180,,residential,South,,45,1,,,,,63.18
energy_consumption,customer_observation,181,CUSTOMER_0181,,residential,Northeast,,45,3,,,,,97.49
energy_consumption,customer_observation,182,CUSTOMER_0182,,residential,Southeast,,45,2,,,,,79.5
energy_consumption,customer_observation,183,CUSTOMER_0183,,commercial,North,,24,3,,,,,98.17
energy_consumption,customer_observation,184,CUSTOMER_0184,,commercial,South,,24,1,,,,,69.44
energy_consumption,customer_observation,185,CUSTOMER_0185,,residential,Midwest,,45,2,,,,,55.69
energy_consumption,customer_observation,186,CUSTOMER_0186,,commercial,South,,45,3,,,,,76.94
energy_consumption,customer_observation,187,CUSTOMER_0187,,commercial,Midwest,,52,1,,,,,66.36
energy_consumption,customer_observation,188,CUSTOMER_0188,,residential,Northeast,,52,2,,,,,89.23
energy_consumption,customer_observation,189,CUSTOMER_0189,,residential,South,,24,3,,,,,101.65
energy_consumption,customer_observation,190,CUSTOMER_0190,,residential,Northeast,,17,1,,,,,87.98
energy_consumption,customer_observation,191,CUSTOMER_0191,,residential,Northeast,,45,2,,,,,98.04
energy_consumption,customer_observation,192,CUSTOMER_0192,,commercial,Midwest,,24,3,,,,,75.76
