dataset_source,source_grain,source_row_id,cbecs_public_building_id,cbecs_region_code,cbecs_building_activity_code,floor_area_sqft,cbecs_floor_count_code,cbecs_construction_period_code,cbecs_occupancy_code,cbecs_weekly_operating_hours,cbecs_worker_count,cbecs_energy_used_code,cbecs_electricity_used_code,cbecs_natural_gas_used_code,cbecs_fuel_oil_used_code,cbecs_propane_used_code,cbecs_district_steam_used_code,cbecs_district_hot_water_used_code,heating_degree_days,cooling_degree_days,electricity_btu,electricity_consumption_cbecs,electricity_expenditure,natural_gas_btu,natural_gas_consumption_cbecs,natural_gas_expenditure,survey_final_weight
cbecs,building_survey,58,58,4,25,41000,1,6,1,60,50,1,1,2,2,2,2,2,1669,4642,883430.0,258919.0,40835.0,,,,621.34
cbecs,building_survey,59,59,3,25,200001,1,7,4,168,150,1,1,1,2,2,2,2,3331,2182,16609029.0,4867828.0,466638.0,3219846.0,31020.0,22461.0,84.24
cbecs,building_survey,60,60,3,25,210000,1,8,4,168,150,1,1,1,2,2,2,2,3716,2125,14726719.0,4316154.0,366716.0,5235856.0,50442.0,43629.0,14.9
cbecs,building_survey,61,61,1,5,63000,1,3,2,50,20,1,1,2,2,2,2,2,6951,766,2587908.0,758472.0,68555.0,,,,552.0
cbecs,building_survey,62,62,2,15,8400,2,2,2,120,6,1,1,1,2,2,2,2,5641,1574,381141.0,111706.0,12219.0,613191.0,5907.0,4335.0,1195.14
cbecs,building_survey,63,63,3,23,25000,3,7,11,75,29,1,1,1,2,2,2,2,1229,3193,2206620.0,646723.0,39711.0,1366305.0,13163.0,11023.0,10.71
cbecs,building_survey,64,64,2,2,1800000,995,8,42,68,4500,1,1,1,1,2,2,2,6443,1276,47261583.0,13851578.0,1316550.0,1787002.0,17216.0,8232.0,15.06
cbecs,building_survey,65,65,3,26,12000,1,4,1,40,2,1,1,1,2,2,2,2,2375,2444,141733.0,41540.0,6293.0,90518.0,872.0,1081.0,1489.41
cbecs,building_survey,66,66,3,5,15250,1,5,1,48,2,1,1,1,2,2,2,2,3337,2268,105234.0,30842.0,3578.0,103662.0,999.0,2610.0,2990.63
cbecs,building_survey,67,67,1,8,31000,2,8,1,50,60,1,1,1,2,2,2,2,6648,689,1069233.0,313374.0,32338.0,277556.0,2674.0,1908.0,1218.03
cbecs,building_survey,68,68,3,5,31000,3,7,2,40,14,1,1,2,2,1,2,2,3731,1894,939923.0,275476.0,32011.0,,,,1632.49
cbecs,building_survey,69,69,3,2,12250,1,7,4,40,30,1,1,1,2,2,2,2,4085,1777,555866.0,162915.0,10511.0,91140.0,878.0,942.0,1413.09
cbecs,building_survey,70,70,1,1,25000,2,9,0,0,0,2,2,2,2,2,2,2,5308,1427,,,,,,,1030.4
cbecs,building_survey,71,71,3,2,200001,8,8,55,65,435,1,1,2,2,2,2,2,1816,3383,11714248.0,3433250.0,368392.0,,,,14.9
cbecs,building_survey,72,72,3,15,8000,1,8,1,98,9,1,1,1,2,2,2,2,4309,1866,1038845.0,304468.0,25824.0,377188.0,3634.0,3307.0,1218.03
cbecs,building_survey,73,73,3,26,3300,1,7,2,30,1,1,1,2,2,1,2,2,4609,1836,85747.0,25131.0,2560.0,,,,2990.63
cbecs,building_survey,74,74,1,13,100000,3,5,1,100,35,1,1,1,1,2,2,2,6419,1119,3314035.0,971288.0,136747.0,365682.0,3523.0,3277.0,220.83
cbecs,building_survey,75,75,3,23,21000,1,3,4,48,11,1,1,1,2,2,2,2,2838,2667,720047.0,211034.0,13278.0,690904.0,6656.0,5556.0,2822.81
cbecs,building_survey,76,76,1,14,335000,9,2,1,112,162,1,1,2,1,2,2,1,4791,1380,8213695.0,2407296.0,220541.0,,,,5.89
cbecs,building_survey,77,77,2,2,8800,3,2,1,36,2,1,1,1,2,2,2,2,5719,1320,330458.0,96852.0,19956.0,175729.0,1693.0,1942.0,3075.23
cbecs,building_survey,78,78,2,13,24000,1,4,1,25,3,1,1,1,2,2,2,2,5646,1005,167928.0,49217.0,7619.0,1638794.0,15788.0,13133.0,1531.55
cbecs,building_survey,79,79,4,14,1001,1,8,1,45,1,1,1,2,2,2,2,2,4568,1402,19549.0,5729.0,669.0,,,,4468.96
cbecs,building_survey,80,80,4,5,118000,2,5,2,60,40,1,1,2,2,1,2,2,711,1718,1189175.0,348527.0,51897.0,,,,70.08
cbecs,building_survey,81,81,2,8,42500,3,9,1,36,16,1,1,1,2,2,2,2,8548,568,3221965.0,944304.0,82548.0,438871.0,4228.0,2760.0,717.24
cbecs,building_survey,82,82,3,17,64000,2,8,1,168,25,1,1,1,2,2,2,2,3180,2609,3945937.0,1156488.0,97949.0,369099.0,3556.0,4421.0,8.7
cbecs,building_survey,83,83,4,2,300000,3,4,1,60,200,1,1,1,1,2,1,1,4153,316,9891979.0,2899173.0,375346.0,321324.0,3096.0,2674.0,70.08
cbecs,building_survey,84,84,3,1,3000,1,7,0,0,0,1,1,1,2,2,2,2,3858,1938,92539.0,27122.0,2556.0,52726.0,508.0,568.0,2990.63
cbecs,building_survey,85,85,1,14,285000,2,4,1,80,200,1,1,1,2,2,2,2,5462,1291,8418288.0,2467259.0,245984.0,17864532.0,172105.0,158320.0,44.64
cbecs,building_survey,86,86,1,2,43000,4,2,1,40,60,1,1,2,2,2,1,2,4251,1608,1195682.0,350434.0,21897.0,,,,7.84
cbecs,building_survey,87,87,4,18,85000,4,7,1,168,50,1,1,1,2,2,2,2,2151,655,2255206.0,660963.0,131709.0,953982.0,9191.0,9854.0,100.08
cbecs,building_survey,88,88,1,14,320000,6,2,1,78,300,1,1,1,2,2,2,2,3948,1483,5531334.0,1621141.0,123523.0,23072012.0,222274.0,212787.0,50.66
cbecs,building_survey,89,89,4,14,45000,3,4,1,75,30,1,1,2,2,2,1,2,5869,479,570184.0,167111.0,14479.0,,,,495.15
cbecs,building_survey,90,90,2,17,176000,4,3,1,168,60,1,1,1,1,2,2,2,6655,832,5860318.0,1717561.0,143243.0,22732391.0,219002.0,118965.0,15.06
cbecs,building_survey,91,91,2,5,1200,1,9,1,168,0,2,2,2,2,2,2,2,7079,1163,,,,,,,3600.3
cbecs,building_survey,92,92,3,1,3300,1,4,0,0,0,2,2,2,2,2,2,2,2825,2836,,,,,,,1218.03
cbecs,building_survey,93,93,4,14,65000,1,3,1,40,50,1,1,1,2,2,2,2,864,1344,624679.0,183083.0,27179.0,1520347.0,14647.0,12263.0,100.08
cbecs,building_survey,94,94,4,5,430000,1,9,1,90,100,1,1,2,2,1,2,2,2187,866,1156897.0,339067.0,74853.0,,,,52.43
cbecs,building_survey,95,95,4,14,19750,2,7,4,55,30,1,1,1,2,2,2,2,3967,1625,488303.0,143113.0,10648.0,868786.0,8370.0,6252.0,621.37
cbecs,building_survey,96,96,2,13,87000,4,5,1,60,30,1,1,1,2,2,2,2,5347,1746,7264907.0,2129222.0,242654.0,1096394.0,10563.0,7419.0,489.02
cbecs,building_survey,97,97,2,15,1200,1,4,1,80,2,1,1,1,2,2,2,2,7821,958,173048.0,50717.0,7240.0,203808.0,1963.0,1734.0,1265.79
cbecs,building_survey,98,98,2,5,25000,2,8,1,40,5,1,1,1,2,2,2,2,7736,580,41276.0,12097.0,1876.0,389075.0,3748.0,2858.0,3554.88
cbecs,building_survey,99,99,4,18,255000,7,4,1,168,40,1,1,1,2,2,1,2,4908,253,5859243.0,1717246.0,104644.0,927245.0,8933.0,5978.0,7.45
cbecs,building_survey,100,100,4,14,52000,1,7,1,45,45,1,1,1,2,2,2,2,5203,412,1186816.0,347836.0,36627.0,736357.0,7094.0,4593.0,330.8
cbecs,building_survey,101,101,1,5,158000,3,3,5,40,15,1,1,1,2,2,2,2,6938,766,756882.0,221829.0,19626.0,705926.0,6801.0,5698.0,8.76
cbecs,building_survey,102,102,2,2,5000,2,8,1,40,9,1,1,2,2,2,2,2,7646,693,204586.0,59961.0,8360.0,,,,3075.23
cbecs,building_survey,103,103,3,2,2500,1,5,1,40,10,1,1,2,1,1,2,2,1282,3831,140996.0,41324.0,2987.0,,,,2990.63
cbecs,building_survey,104,104,3,4,315000,4,4,10,168,315,1,1,2,2,2,1,2,3520,2286,75975483.0,22267140.0,1681101.0,,,,3.85
cbecs,building_survey,105,105,3,25,40000,1,4,1,55,22,1,1,1,2,2,2,2,3278,2514,1217606.0,356860.0,27125.0,1139341.0,10976.0,10438.0,591.56
cbecs,building_survey,106,106,3,5,85000,1,7,1,60,55,1,1,2,2,2,2,2,1313,4166,1426722.0,418148.0,43086.0,,,,32.47
cbecs,building_survey,107,107,1,2,102000,4,2,15,54,150,1,1,1,2,2,2,2,6123,743,2129844.0,624222.0,63214.0,4323131.0,41649.0,23456.0,224.76
cbecs,building_survey,108,108,3,2,128000,6,7,20,55,300,1,1,2,1,2,2,2,1585,3488,8189837.0,2400304.0,178204.0,,,,14.9
cbecs,building_survey,109,109,3,2,45500,4,6,14,72,60,1,1,2,1,2,2,2,1517,4409,6404607.0,1877083.0,175872.0,,,,304.76
cbecs,building_survey,110,110,3,18,210000,9,4,1,168,22,1,1,2,2,2,1,2,1943,3092,6237286.0,1828044.0,127920.0,,,,15.29
cbecs,building_survey,111,111,3,26,55000,1,4,1,72,60,1,1,1,2,2,2,2,1139,3560,2022131.0,592653.0,56688.0,1707570.0,16451.0,6932.0,14.9
cbecs,building_survey,112,112,4,26,6700,1,8,1,43,4,1,1,1,2,2,2,2,1504,833,239928.0,70319.0,14878.0,135126.0,1302.0,1256.0,1531.55
cbecs,building_survey,113,113,4,26,4000,2,3,1,55,3,1,1,2,2,2,2,2,6968,252,81278.0,23821.0,3254.0,,,,1420.0
cbecs,building_survey,114,114,3,25,100000,1,8,5,70,35,1,1,1,2,2,2,2,2849,2178,2017570.0,591316.0,84649.0,1358773.0,13090.0,24835.0,213.58
cbecs,building_survey,115,115,2,2,176000,7,5,6,65,80,1,1,1,2,2,2,2,6034,731,5190386.0,1521215.0,164421.0,4855109.0,46774.0,30123.0,141.31
cbecs,building_survey,116,116,3,5,215000,2,4,1,13,100,1,1,1,2,2,2,2,4025,1924,3509887.0,1028689.0,79347.0,2936841.0,28293.0,10918.0,14.9
cbecs,building_survey,117,117,2,8,94000,4,7,1,72,45,1,1,1,2,2,2,2,7979,907,8742584.0,2562305.0,240728.0,6735663.0,64891.0,39616.0,53.61
cbecs,building_survey,118,118,3,17,58000,1,8,1,168,50,1,1,1,1,2,2,2,3880,1858,2990008.0,876321.0,104840.0,2356156.0,22699.0,25189.0,245.01
cbecs,building_survey,119,119,4,14,1200,1,8,1,35,5,1,1,2,2,2,2,2,4987,1518,52978.0,15527.0,1598.0,,,,4468.96
cbecs,building_survey,120,120,2,25,64000,1,8,1,85,25,1,1,1,2,2,2,2,5694,1035,1928059.0,565082.0,47317.0,741084.0,7140.0,4291.0,215.07
cbecs,building_survey,121,121,2,18,340000,994,6,1,168,60,1,1,1,1,2,2,2,5615,1747,9964525.0,2920435.0,346973.0,17713048.0,170646.0,95834.0,10.62
cbecs,building_survey,122,122,4,15,5500,1,5,1,168,13,1,1,1,2,2,2,2,6012,201,2382485.0,698266.0,75064.0,330072.0,3180.0,2823.0,1265.79
cbecs,building_survey,123,123,4,2,330000,995,6,28,66,900,1,1,2,2,2,2,2,5953,506,21980043.0,6441982.0,621159.0,,,,15.06
cbecs,building_survey,124,124,3,2,126000,6,7,20,70,200,1,1,2,1,2,2,2,4124,1752,17168890.0,5031914.0,358742.0,,,,54.0
cbecs,building_survey,125,125,2,26,5001,1,7,1,45,6,1,1,2,1,2,2,2,5688,1133,206662.0,60569.0,5750.0,,,,3075.23
cbecs,building_survey,126,126,4,5,112000,2,5,2,60,10,1,1,1,2,2,2,2,4183,1550,1412827.0,414076.0,45489.0,2130419.0,20524.0,16318.0,247.57
cbecs,building_survey,127,127,2,5,260000,1,7,2,60,175,1,1,1,1,1,2,2,5553,1114,6590740.0,1931635.0,167524.0,9889853.0,95278.0,53102.0,15.06
cbecs,building_survey,128,128,1,18,142000,994,5,1,168,5,1,1,2,2,2,1,2,4435,1561,5805598.0,1701523.0,155592.0,,,,97.52
cbecs,building_survey,129,129,2,25,64000,1,7,1,96,25,1,1,1,2,2,2,2,7437,570,2950035.0,864606.0,96060.0,2804781.0,27021.0,18695.0,125.92
cbecs,building_survey,130,130,3,12,22000,1,8,1,37,4,1,1,2,2,1,2,2,2921,2613,462721.0,135616.0,18000.0,,,,1413.09
cbecs,building_survey,131,131,3,12,9600,2,8,1,15,3,1,1,2,2,2,2,2,3577,2170,57140.0,16747.0,1924.0,,,,2577.06
cbecs,building_survey,132,132,4,15,1800,1,2,1,95,1,1,1,1,2,2,2,2,5506,226,169699.0,49736.0,5281.0,191133.0,1841.0,1876.0,1265.79
cbecs,building_survey,133,133,2,18,3200,2,8,1,168,0,1,1,2,2,2,2,2,5071,1194,402998.0,118112.0,10641.0,,,,12528.53
cbecs,building_survey,134,134,3,5,900000,1,8,1,100,300,1,1,2,2,2,2,2,1501,3321,90576828.0,26546550.0,1634639.0,,,,69.6
cbecs,building_survey,135,135,1,25,124000,1,7,3,105,80,1,1,1,2,2,2,2,4945,1028,7471950.0,2189903.0,320521.0,2103962.0,20269.0,23552.0,105.74
cbecs,building_survey,136,136,1,2,5000,2,2,1,56,2,1,1,2,1,2,2,2,5241,1356,176824.0,51824.0,5347.0,,,,10800.91
cbecs,building_survey,137,137,3,12,11250,1,7,1,52,8,1,1,1,2,2,2,2,2348,3462,336266.0,98554.0,10372.0,201651.0,1943.0,1936.0,2990.63
cbecs,building_survey,138,138,3,14,69000,2,3,1,40,20,1,1,1,2,2,2,2,2195,2475,2365705.0,693348.0,53688.0,136556.0,1316.0,1747.0,97.52
cbecs,building_survey,139,139,3,25,70000,1,7,1,102,80,1,1,2,1,2,2,2,4294,1981,5123219.0,1501530.0,163981.0,,,,125.04
cbecs,building_survey,140,140,2,5,500001,1,7,1,112,185,1,1,1,1,1,2,2,5034,1569,4731714.0,1386786.0,125863.0,15418955.0,148545.0,103495.0,15.06
cbecs,building_survey,141,141,3,13,60000,3,8,1,40,5,1,1,1,2,2,2,2,1404,2997,2369400.0,694431.0,60629.0,656623.0,6326.0,6390.0,431.11
cbecs,building_survey,142,142,4,5,5300,1,5,1,3,0,1,1,2,2,2,2,2,1394,3491,35894.0,10520.0,1389.0,,,,6534.79
cbecs,building_survey,143,143,3,16,1700000,7,4,1,168,3250,1,1,1,1,1,2,2,2443,3314,221352215.0,64874623.0,3422393.0,234936243.0,2263355.0,674994.0,8.78
cbecs,building_survey,144,144,1,14,310000,3,9,1,50,200,1,1,1,2,2,2,2,5493,980,7449864.0,2183430.0,428471.0,15841910.0,152620.0,85320.0,44.12
cbecs,building_survey,145,145,3,2,85000,4,7,1,45,150,1,1,1,1,2,2,2,1799,2566,5447676.0,1596623.0,175844.0,1818372.0,17518.0,6785.0,304.76
cbecs,building_survey,146,146,1,5,102000,5,2,2,40,7,1,1,1,1,1,2,2,6819,685,118174.0,34635.0,7145.0,1389023.0,13382.0,10930.0,68.56
cbecs,building_survey,147,147,3,2,2500,1,2,1,40,2,1,1,2,2,2,2,2,2748,2686,157129.0,46052.0,3746.0,,,,2990.63
cbecs,building_survey,148,148,4,15,5000,1,3,1,80,7,1,1,1,2,2,2,2,8906,232,165432.0,48485.0,5172.0,814575.0,7848.0,5492.0,1049.59
cbecs,building_survey,149,149,1,5,800000,2,5,3,60,150,1,1,1,2,2,2,2,4162,1709,9263237.0,2714899.0,225275.0,4186296.0,40330.0,51120.0,31.35
cbecs,building_survey,150,150,3,2,480000,995,6,14,168,800,1,1,1,1,2,2,2,1485,4131,43114267.0,12636069.0,1076180.0,885243.0,8528.0,7243.0,14.9
cbecs,building_survey,151,151,2,18,30000,2,6,1,168,10,1,1,1,2,2,2,2,4933,1722,1256238.0,368182.0,53411.0,1373858.0,13236.0,10158.0,495.15
cbecs,building_survey,152,152,3,2,800000,994,6,37,55,2192,1,1,1,1,2,2,2,2079,3465,46744811.0,13700120.0,1076605.0,8599652.0,82848.0,45133.0,14.9
cbecs,building_survey,153,153,4,25,220000,1,8,4,126,150,1,1,1,2,2,2,2,1090,1501,13205071.0,3870185.0,498547.0,12234145.0,117863.0,65633.0,15.06
cbecs,building_survey,154,154,3,16,130000,2,9,1,168,110,1,1,2,1,1,2,2,3573,2011,20578353.0,6031170.0,560307.0,,,,92.78
cbecs,building_survey,155,155,4,24,800000,2,6,996,74,400,1,1,1,1,2,2,2,4472,825,33742746.0,9889433.0,1255647.0,1881206.0,18123.0,18260.0,15.08
cbecs,building_survey,156,156,1,14,58000,1,7,1,45,80,1,1,2,1,1,2,2,8216,516,1498773.0,439265.0,65711.0,,,,97.52
cbecs,building_survey,157,157,3,15,7400,2,9,1,84,21,1,1,1,2,2,2,2,2899,2169,1213654.0,355702.0,30578.0,902650.0,8696.0,6313.0,1218.03
cbecs,building_survey,158,158,2,13,1500,1,9,1,60,12,1,1,2,2,2,2,2,6549,1286,47809.0,14012.0,1662.0,,,,1472.45
cbecs,building_survey,159,159,3,16,1700000,994,4,1,168,2200,1,1,1,1,2,2,2,2440,3292,126265452.0,37006287.0,2822741.0,11147904.0,107398.0,60305.0,3.91
cbecs,building_survey,160,160,1,14,11250,1,9,1,60,16,1,1,1,1,2,2,2,6898,696,491110.0,143936.0,21771.0,626774.0,6038.0,5189.0,677.21
cbecs,building_survey,161,161,4,18,84000,2,5,1,168,25,1,1,1,2,2,2,2,1830,332,2872578.0,841904.0,142339.0,2558914.0,24652.0,28356.0,100.08
cbecs,building_survey,162,162,3,13,66000,2,9,1,84,30,1,1,1,2,2,1,2,4255,1529,2339307.0,685612.0,53559.0,263293.0,2537.0,2424.0,117.32
cbecs,building_survey,163,163,2,1,3600,1,3,0,0,0,1,1,2,2,2,2,2,5365,1175,2780.0,815.0,433.0,,,,8786.36
