record_id,business_id,month,year,electricity_bill,diesel_cost,petrol_cost,generator_hours,grid_hours,outage_hours,energy_consumption_kwh,fuel_consumption_liters,maintenance_cost,weather_avg_temp,occupancy_rate,total_energy_cost,business_name,business_type,industry,state,city,employees,operating_hours,floor_area_sqm,energy_source,solar_capacity_kw,monthly_revenue,created_at,quarter,cost_per_kwh,energy_cost_per_employee,generator_dependency,revenue_energy_ratio,outage_severity,estimated_carbon_intensity,next_month_energy_cost
REC-000012,BIZ-0001,12,2024,10775915.61,2185131.0,66350.13,53.22,347.59,59.13,113430.69,1769.34,500652.0,26.21,79.27,13027396.74,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,114.84895965985925,317741.38390243903,0.13278111823557298,4.747436756885014,0.1453825727773407,0.01559842402439763,13415263.22
REC-000013,BIZ-0001,1,2025,11630729.6,1731944.22,52589.4,45.02,356.69,50.03,122428.73,1402.38,505126.49,27.76,67.29,13415263.22,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,109.5761037462367,327201.54195121955,0.11207089691568546,4.610177311899214,0.12300845790715972,0.011454664276922584,20333596.2
REC-000014,BIZ-0001,2,2025,18812535.81,1476235.43,44824.96,41.78,320.94,46.42,198026.69,1195.33,686984.35,26.97,80.93,20333596.2,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,102.6810890996562,495941.3707317073,0.11518526687251875,3.0416037341195947,0.12636106271777006,0.006036206533573832,13428124.76
REC-000015,BIZ-0001,3,2025,11694565.38,1682472.17,51087.21,55.63,344.91,61.81,123100.69,1362.33,530144.66,28.95,70.88,13428124.76,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,1,109.08244917229952,327515.2380487805,0.13888750187247217,4.6057616558814285,0.15197187254130606,0.011066794182875822,20409729.09
REC-000016,BIZ-0001,4,2025,18481237.49,1871659.82,56831.78,45.8,342.71,50.89,194539.34,1515.51,687111.73,31.22,75.87,20409729.09,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,104.91311983478509,497798.2704878049,0.11788628349334637,3.03025786659278,0.12929369918699188,0.00779024951971154,15990188.3
REC-000017,BIZ-0001,5,2025,13584828.56,2334474.88,70884.86,62.71,337.04,69.68,142998.2,1890.26,595463.94,29.42,57.86,15990188.3,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,111.82090613728005,390004.59268292686,0.15687304565353347,3.867793234805121,0.17132179386309995,0.013218767788685451,15927860.78
REC-000018,BIZ-0001,6,2025,14442223.91,1441855.82,43781.05,57.75,329.44,64.16,152023.41,1167.49,607099.48,29.96,62.54,15927860.78,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,2,104.77242143167292,388484.40926829266,0.1491515793279785,3.882928347016856,0.16300813008130083,0.007679672492545721,16694397.07
REC-000019,BIZ-0001,7,2025,15113676.97,1534136.99,46583.11,55.43,345.13,61.59,159091.34,1242.22,619675.27,29.68,75.76,16694397.07,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,104.93592592783492,407180.4163414634,0.1383812662272818,3.704640657022542,0.1514309598741149,0.007808218850881512,15654486.57
REC-000020,BIZ-0001,8,2025,11599683.64,3935309.72,119493.21,95.56,300.55,106.17,122101.93,3186.49,615476.75,29.16,56.92,15654486.57,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,128.20834666577343,381816.7456097561,0.24124611850243619,3.9507359026722777,0.2610395357985838,0.02609696669004331,13338031.51
REC-000021,BIZ-0001,9,2025,11057710.95,2213120.54,67200.02,67.34,318.78,74.82,116396.96,1792.0,539130.0,27.38,65.13,13338031.51,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,3,114.5908923222737,325317.84170731704,0.17440174039158812,4.63687179653394,0.19009146341463415,0.015395591087602287,15103389.28
REC-000022,BIZ-0001,10,2025,12262039.85,2757616.15,83733.28,71.2,327.61,79.11,129074.1,2232.89,579324.35,24.94,73.64,15103389.28,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,117.01332242487067,368375.3482926829,0.17853113011208346,4.094891615612254,0.19450727773406767,0.01729928777345726,18463358.67
REC-000023,BIZ-0001,11,2025,16266522.45,2132096.45,64739.77,63.48,323.06,70.54,171226.55,1726.39,667726.42,25.15,68.9,18463358.67,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,107.8299987355933,450325.82121951226,0.16422621203497695,3.3497016028016096,0.1792174796747968,0.010082490127845244,15998712.76
REC-000024,BIZ-0001,12,2025,13588958.7,2338739.7,71014.36,61.48,338.41,68.31,143041.67,1893.72,592857.19,24.82,65.96,15998712.76,Factory SME 001,Factory,Manufacturing,Lagos,Lagos,41,13.12,4707.75,Generator,0.0,61846742.13,2024-01-01,4,111.84651829078896,390212.5063414634,0.15374227912675983,3.8657323909601837,0.1679533831628639,0.013238939394373681,
REC-000025,BIZ-0002,1,2024,2207424.96,767994.44,49230.41,33.7,639.47,56.17,23236.05,656.41,158303.59,26.24,30.13,3024649.81,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,130.17056728660853,137484.08227272728,0.050061648617734,0.9274341911336836,0.0807457880512909,0.0282496379548159,2443259.1
REC-000026,BIZ-0002,2,2024,1837030.02,569709.26,36519.82,44.03,577.37,73.39,19337.16,486.93,164186.21,27.9,37.24,2443259.1,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,126.35046201200177,111057.23181818183,0.07085613131638237,1.1481236885600876,0.11277583133566907,0.025181050371409247,2927645.35
REC-000027,BIZ-0002,3,2024,1602870.8,1244968.85,79805.7,60.95,594.06,101.58,16872.32,1064.08,182449.75,29.1,30.01,2927645.35,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,173.5176519885825,133074.78863636364,0.09305201447306148,0.9581637509474977,0.1460238054165948,0.0630666085043432,2641201.18
REC-000028,BIZ-0002,4,2024,1656085.18,925771.66,59344.34,51.7,587.04,86.16,17432.48,791.26,170725.51,29.5,39.48,2641201.18,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,151.5103519407451,120054.5990909091,0.08094060180981308,1.0620787508507776,0.1279857397504456,0.045389984672289885,3171367.96
REC-000029,BIZ-0002,5,2024,1852684.71,1239244.5,79438.75,64.37,588.36,107.28,19501.94,1059.18,193023.27,29.77,39.41,3171367.96,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,162.61807594526493,144153.08909090908,0.09861657959646408,0.8845279656542914,0.1542176988097292,0.05431151977700681,2166009.73
REC-000030,BIZ-0002,6,2024,1681351.97,455461.51,29196.25,33.77,616.92,56.28,17698.44,389.28,146209.62,29.32,22.57,2166009.73,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,122.38421747905466,98454.98772727273,0.0518987536307612,1.2950835867205452,0.08360071301247772,0.02199515889536027,3084607.01
REC-000031,BIZ-0002,7,2024,2146139.12,881933.68,56534.21,51.49,609.82,85.82,22590.94,753.79,181786.07,29.87,21.88,3084607.01,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,136.54177338348913,140209.40954545455,0.07786061000136094,0.9094071435699681,0.12336840894715657,0.033366916117700283,3299197.71
REC-000032,BIZ-0002,8,2024,2043247.96,1180290.13,75659.62,61.4,593.31,102.33,21507.87,1008.79,193277.15,28.15,34.49,3299197.71,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,153.3949066086042,149963.53227272726,0.09378197980785387,0.85025630367572,0.14710194928411247,0.04690329632827425,2899940.68
REC-000033,BIZ-0002,9,2024,2194959.04,662512.87,42468.77,39.33,607.65,65.55,23104.83,566.25,165891.81,27.92,28.08,2899940.68,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,125.512314091902,131815.48545454547,0.060790132616155054,0.9673175969930529,0.09737076648841354,0.02450786264170738,2974706.48
REC-000034,BIZ-0002,10,2024,2132022.15,791920.21,50764.12,50.07,612.2,83.44,22442.34,676.85,179464.66,25.76,35.78,2974706.48,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,132.54885542238466,135213.9309090909,0.07560360578011988,0.9430051902129181,0.1199470990742338,0.030159510995733958,2240928.26
REC-000035,BIZ-0002,11,2024,1577838.34,623144.74,39945.18,41.38,604.23,68.97,16608.82,532.6,154472.49,24.48,31.54,2240928.26,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,134.9239897837414,101860.37545454544,0.06409442232927,1.2517864583491844,0.10245098039215686,0.032067299182000894,2551012.79
REC-000036,BIZ-0002,12,2024,1686257.48,812661.62,52093.69,50.17,612.02,83.62,17750.08,694.58,169286.93,26.18,44.43,2551012.79,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,143.71838267771187,115955.12681818182,0.07576375360546067,1.0996274346394006,0.12020585360243805,0.039131091240152155,2829234.0
REC-000037,BIZ-0002,1,2025,2149481.29,638803.75,40948.96,28.6,647.97,47.67,22626.12,545.99,149817.3,26.94,43.86,2829234.0,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,125.0428266092463,128601.54545454546,0.04227204871631908,0.9914922731735869,0.06852682421942384,0.024130960146945213,3058217.36
REC-000038,BIZ-0002,2,2025,1923543.23,1066320.27,68353.86,46.55,550.73,77.59,20247.82,911.38,169719.87,28.17,24.71,3058217.36,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,151.03933954371385,139009.88,0.07793664612911867,0.9172545047615582,0.12348803157626687,0.04501126541030096,3083031.34
REC-000039,BIZ-0002,3,2025,2201312.02,828603.7,53115.62,65.31,586.78,108.86,23171.71,708.21,202416.0,29.13,40.27,3083031.34,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,1,133.05152446668805,140137.78818181818,0.10015488659540862,0.9098719217041757,0.15648898855729976,0.03056356220581045,3225802.53
REC-000040,BIZ-0002,4,2025,1980145.85,1170617.12,75039.56,65.65,563.79,109.41,20843.64,1000.53,197763.85,30.52,20.98,3225802.53,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,154.761957604334,146627.38772727273,0.10429905948144384,0.8696017886748946,0.16252228163992868,0.04800169260263563,3114759.24
REC-000041,BIZ-0002,5,2025,2184478.13,874240.08,56041.03,42.11,625.46,70.18,22994.51,747.21,169540.86,30.76,29.1,3114759.24,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,135.45664769547167,141579.96545454545,0.06307952724058899,0.900603685182422,0.1008855154965212,0.032495147754833656,2594551.7
REC-000042,BIZ-0002,6,2025,1931516.04,623093.75,39941.91,40.05,606.45,66.75,20331.75,532.56,160801.7,30.59,21.31,2594551.7,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,2,127.61084018837533,117934.1681818182,0.061948955916473314,1.0811746977329455,0.09915329768270945,0.026193515068796337,3194195.73
REC-000043,BIZ-0002,7,2025,1721618.98,1383867.31,88709.44,60.21,595.29,100.35,18122.31,1182.79,184164.59,29.39,29.66,3194195.73,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,176.25764761777057,145190.715,0.09185354691075515,0.8782065618752799,0.1442556494738658,0.06526706584315134,2827831.71
REC-000044,BIZ-0002,8,2025,1565909.37,1185902.92,76019.42,52.88,607.51,88.13,16483.26,1013.59,170296.39,28.25,23.76,2827831.71,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,171.5577931792619,128537.805,0.08007389572828177,0.991983943061449,0.12668909205911102,0.06149208348348568,2723813.97
REC-000045,BIZ-0002,9,2025,2042395.08,640369.56,41049.33,32.03,619.82,53.38,21498.9,547.32,152138.33,26.29,36.4,2723813.97,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,3,126.69550395601635,123809.72590909092,0.04913707141213469,1.0298660925070444,0.07929292929292929,0.025458046690760922,2571515.15
REC-000046,BIZ-0002,10,2025,2012533.43,525308.12,33673.6,39.81,629.29,66.35,21184.56,448.98,162340.86,24.84,33.97,2571515.15,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,121.38629029821718,116887.05227272726,0.05949783290987895,1.090860246341539,0.09537979414639755,0.021193737325674925,3185821.83
REC-000047,BIZ-0002,11,2025,2333815.18,800680.95,51325.7,62.59,568.89,104.31,24566.48,684.34,201665.91,25.99,43.68,3185821.83,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,129.6816568755475,144810.0831818182,0.09911636156331159,0.8805149188145276,0.15494652406417112,0.027856656712724005,2519309.1
REC-000048,BIZ-0002,12,2025,1570806.83,891363.58,57138.69,39.05,630.56,65.08,16534.81,761.85,151040.67,26.24,32.71,2519309.1,Cold Room SME 002,Cold Room,Cold Storage,Lagos,Lagos,22,22.44,449.1,Grid,0.0,2805163.65,2024-01-01,4,152.3639582190542,114514.05,0.05831752811337943,1.1134654536833133,0.09355413719740095,0.046075521883831745,
REC-000049,BIZ-0003,1,2024,459160.34,34156.99,10610.9,7.0,390.66,70.0,5456.07,40.42,33084.03,26.37,80.28,503928.23,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,92.36102725954763,23996.58238095238,0.017602977417894683,11.655928980204186,0.15195588937611254,0.007408262723902003,582536.36
REC-000050,BIZ-0003,2,2024,535081.53,36207.07,11247.76,4.93,381.65,49.29,6255.24,42.85,32833.13,27.51,81.01,582536.36,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,93.12773930336806,27739.826666666668,0.012752858399296393,10.083064445968661,0.11437787162946117,0.006850256744745206,669613.43
REC-000051,BIZ-0003,3,2024,622903.04,35639.08,11071.31,5.28,407.85,52.81,7179.67,42.18,34466.31,29.31,76.84,669613.43,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,93.2652099609035,31886.35380952381,0.012780480720354368,8.771854620657772,0.11463986454217863,0.0058749218278834545,605116.08
REC-000052,BIZ-0003,4,2024,549156.11,42696.32,13263.65,5.31,392.69,53.11,6403.39,50.53,33323.02,29.34,60.97,605116.08,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,94.49933238487738,28815.051428571427,0.013341708542713568,9.706818004241436,0.11913414087034546,0.007891132665666154,538730.45
REC-000053,BIZ-0003,5,2024,476146.92,47749.96,14833.57,5.74,403.28,57.38,5634.87,56.51,32469.0,31.03,56.44,538730.45,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,95.60654460528814,25653.83095238095,0.014033543592000392,10.902950928428123,0.12456041332001912,0.01002862532764731,638569.26
REC-000054,BIZ-0003,6,2024,614188.86,18601.75,5778.65,3.55,410.27,35.53,7087.95,22.01,33119.03,30.43,79.83,638569.26,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,90.09223541362454,30408.06,0.008578609057077956,9.198300055972002,0.0796994167788246,0.003105270212120571,676371.02
REC-000055,BIZ-0003,7,2024,645022.95,23917.94,7430.13,3.37,426.93,33.73,7412.52,28.31,33479.92,30.37,80.88,676371.02,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,91.24710894540588,32208.14380952381,0.007831745293980943,8.6842154473147,0.07322103069508966,0.0038192139785120306,625869.47
REC-000056,BIZ-0003,8,2024,575922.43,38108.58,11838.46,6.0,400.64,60.02,6685.14,45.1,34228.8,28.17,69.54,625869.47,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,93.62099671809415,29803.308095238095,0.014755065905961047,9.384946768533062,0.13029132114791822,0.006746305986112482,484399.73
REC-000057,BIZ-0003,9,2024,430248.98,41315.92,12834.83,5.22,393.59,52.21,5151.74,48.89,31382.29,26.55,60.35,484399.73,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,94.02643184632765,23066.65380952381,0.013088939595296004,12.125835949578255,0.11711529834006282,0.009489997554224399,549412.73
REC-000058,BIZ-0003,10,2024,485876.66,48476.73,15059.34,6.7,393.62,67.04,5737.29,57.37,33298.96,24.76,70.86,549412.73,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,4,95.76171502573514,26162.51095238095,0.016736610711430858,10.690963895212258,0.14553032605392266,0.00999949453487622,428531.7
REC-000059,BIZ-0003,11,2024,402677.97,19725.87,6127.86,3.22,413.59,32.21,4861.52,23.34,29547.26,25.54,59.11,428531.7,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,4,88.14767809244844,20406.27142857143,0.007725342482186128,13.70669115026963,0.07225213100044864,0.0048009675986111335,504952.6
REC-000060,BIZ-0003,12,2024,438584.08,50637.83,15730.69,6.6,394.69,65.97,5239.47,59.93,32477.3,25.87,82.42,504952.6,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,4,96.37474782754744,24045.361904761903,0.016446958558648358,11.632283228168347,0.14320757174488777,0.011438179815897408,553636.58
REC-000061,BIZ-0003,1,2025,521042.25,24868.81,7725.52,4.28,417.82,42.84,6107.46,29.43,32160.01,27.67,85.71,553636.58,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,90.64923552507916,26363.646666666664,0.01013977730395641,10.609399508970307,0.09299700429818089,0.0048186971343242525,455580.58
REC-000062,BIZ-0003,2,2025,431637.07,18268.41,5675.1,3.93,376.74,39.34,5166.35,21.62,30503.38,27.73,57.69,455580.58,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,88.18229117268477,21694.313333333335,0.01032390259279691,12.892892976254606,0.0945491251682369,0.004184772615095764,463864.7
REC-000063,BIZ-0003,3,2025,435490.65,21648.82,6725.23,2.67,433.94,26.72,5206.91,25.62,29681.02,29.77,66.06,463864.7,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,1,89.0863679226259,22088.795238095237,0.006115297405006756,12.662639903402868,0.058003733773281815,0.004920384642715161,652364.8
REC-000064,BIZ-0003,4,2025,611119.48,31469.34,9775.98,4.61,399.69,46.11,7055.64,37.24,33811.15,30.1,82.43,652364.8,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,92.46004614747918,31064.99047619048,0.011402423942616868,9.00378386448809,0.1034320323014805,0.005278047065893385,477429.59
REC-000065,BIZ-0003,5,2025,443340.61,26009.2,8079.78,3.17,428.93,31.73,5289.54,30.78,30155.3,31.47,55.63,477429.59,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,90.25918888977114,22734.742380952383,0.007336264753529275,12.302864721895432,0.06887943385577217,0.005819031522589866,612847.0
REC-000066,BIZ-0003,6,2025,590673.16,16918.19,5255.65,3.57,410.11,35.69,6840.41,20.02,32759.19,30.43,68.97,612847.0,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,2,89.59214433052989,29183.190476190477,0.008629858828079675,9.584368790252705,0.0800583221175415,0.002926725152439693,585426.36
REC-000067,BIZ-0003,7,2025,557125.16,21593.24,6707.96,2.78,432.83,27.83,6487.28,25.55,31678.76,28.62,76.09,585426.36,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,90.24219087198333,27877.445714285714,0.006381855329308327,10.033288661617492,0.060413320019103024,0.0039384765263716075,597603.28
REC-000068,BIZ-0003,8,2025,549186.37,36941.12,11475.79,5.09,409.78,50.88,6403.71,43.72,33166.96,28.0,72.69,597603.28,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,93.32141524210185,28457.29904761905,0.012268903511943501,9.828847760005601,0.11045022359223723,0.0068272923039925295,488904.72
REC-000069,BIZ-0003,9,2025,455583.97,25423.06,7897.69,5.07,395.12,50.68,5418.42,30.09,31675.22,26.25,55.05,488904.72,Bakery SME 003,Bakery,Food Production,Oyo,Ibadan,21,14.86,188.18,Solar,5.19,5873751.66,2024-01-01,3,90.23012612532804,23281.17714285714,0.012668982233439118,12.014102993319435,0.11368326603858234,0.005553279369262626,543839.47
